уч	272
е,	461
ин	701
ни	863
иц	875
тр	458
бе	740
ру	869
ру	869
да	916
бл	166
яб	655
яб	774
ок	845
он	960
ор	427
й,	524
сл	710
ь.	736
ма	851
шь	155
бе	888
а.	1025
ку	1043
ру	1043
ке	199
жу	239
е,	388
ур	528
ем	731
лу	44
е,	115
уч	129
ем	731
не	759
пе	526
сё	736
нь	789
те	952
ре	967
е,	528
ем	800
уч	857
ур	975
не	983
ыб	233
ло	365
ру	810
не	863
иш	944
сё	206
т.	641
уд	754
ре	779
тр	975
й,	439
йм	504
сл	736
ь.	845
еш	923
тв	495
а.	670
шл	736
яй	740
пр	821
от	242
ит	334
т.	736
от	789
лю	845
